PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Name,Cabin,Ticket,Ticket,Ticket
38,0,3,male,21,0,0,A./5. 2152,8.05,S,0.156673,,A./5.,2152,
1276,,2,male,31,0,0,SC/PARIS 2159,12.875,S,0.156673,,SC/PARIS,2159,
293,0,2,male,36,0,0,SC/Paris 2163,12.875,C,0.156673,D,SC/Paris,2163,
1297,,2,male,20,0,0,SC/PARIS 2166,13.8625,C,0.156673,D,SC/PARIS,2166,
362,0,2,male,29,1,0,SC/PARIS 2167,27.7208,C,0.156673,,SC/PARIS,2167,
907,,2,female,24,1,0,SC/PARIS 2167,27.7208,C,0.782,,SC/PARIS,2167,
943,,2,male,27,0,0,SC/PARIS 2168,15.0333,C,0.156673,,SC/PARIS,2168,
835,0,3,male,18,0,0,2223,8.3,S,0.156673,,,2223,
650,1,3,female,23,0,0,CA. 2314,7.55,S,0.697802,,CA.,2314,
94,0,3,male,26,1,2,C.A. 2315,20.575,S,0.156673,,C.A.,2315,
789,1,3,male,1,1,2,C.A. 2315,20.575,S,0.575,,C.A.,2315,
924,,3,female,33,1,2,C.A. 2315,20.575,S,0.782,,C.A.,2315,
1246,,3,female,0.17,1,2,C.A. 2315,20.575,S,0.697802,,C.A.,2315,
160,0,3,male,15,8,2,CA. 2343,69.55,S,0.575,,CA.,2343,
181,0,3,female,15,8,2,CA. 2343,69.55,S,0.697802,,CA.,2343,
202,0,3,male,15,8,2,CA. 2343,69.55,S,0.156673,,CA.,2343,
325,0,3,male,15,8,2,CA. 2343,69.55,S,0.156673,,CA.,2343,
793,0,3,female,15,8,2,CA. 2343,69.55,S,0.697802,,CA.,2343,
847,0,3,male,15,8,2,CA. 2343,69.55,S,0.156673,,CA.,2343,
864,0,3,female,15,8,2,CA. 2343,69.55,S,0.697802,,CA.,2343,
1080,,3,female,15,8,2,CA. 2343,69.55,S,0.697802,,CA.,2343,
1234,,3,male,24,1,9,CA. 2343,69.55,S,0.156673,,CA.,2343,
1252,,3,male,14.5,8,2,CA. 2343,69.55,S,0.575,,CA.,2343,
1257,,3,female,24,1,9,CA. 2343,69.55,S,0.782,,CA.,2343,
305,0,3,male,27,0,0,A/5 2466,8.05,S,0.156673,,A/5,2466,
960,,1,male,31,0,0,2543,28.5375,C,0.156673,C,,2543,
554,1,3,male,22,0,0,2620,7.225,C,0.156673,,,2620,
1025,,3,male,24,1,0,2621,6.4375,C,0.156673,,,2621,
1231,,3,male,27,0,0,2622,7.2292,C,0.575,,,2622,
662,0,3,male,40,0,0,2623,7.225,C,0.156673,,,2623,
523,0,3,male,27,0,0,2624,7.225,C,0.156673,,,2624,
804,1,3,male,0.42,0,1,2625,8.5167,C,0.575,,,2625,
996,,3,female,16,1,1,2625,8.5167,C,0.782,,,2625,
368,1,3,female,27,0,0,2626,7.2292,C,0.782,,,2626,
115,0,3,female,17,0,0,2627,14.4583,C,0.697802,,,2627,
496,0,3,male,27,0,0,2627,14.4583,C,0.156673,,,2627,
204,0,3,male,45.5,0,0,2628,7.225,C,0.156673,,,2628,
860,0,3,male,27,0,0,2629,7.2292,C,0.156673,,,2629,
27,0,3,male,27,0,0,2631,7.225,C,0.156673,,,2631,
532,0,3,male,27,0,0,2641,7.2292,C,0.156673,,,2641,
355,0,3,male,27,0,0,2647,7.225,C,0.156673,,,2647,
379,0,3,male,20,0,0,2648,4.0125,C,0.156673,,,2648,
20,1,3,female,27,0,0,2649,7.225,C,0.782,,,2649,
256,1,3,female,29,0,2,2650,15.2458,C,0.782,,,2650,
1053,,3,male,7,1,1,2650,15.2458,C,0.575,,,2650,
1175,,3,female,9,1,1,2650,15.2458,C,0.697802,,,2650,
40,1,3,female,14,1,0,2651,11.2417,C,0.697802,,,2651,
126,1,3,male,12,1,0,2651,11.2417,C,0.575,,,2651,
1184,,3,male,27,0,0,2652,7.2292,C,0.156673,,,2652,
382,1,3,female,1,0,2,2653,15.7417,C,0.697802,,,2653,
623,1,3,male,20,1,1,2653,15.7417,C,0.156673,,,2653,
1225,,3,female,19,1,1,2653,15.7417,C,0.782,,,2653,
1213,,3,male,25,0,0,2654,7.2292,C,0.156673,F,,2654,
1180,,3,male,27,0,0,2655,7.2292,C,0.156673,F,,2655,
1028,,3,male,26.5,0,0,2656,7.225,C,0.156673,,,2656,
900,,3,female,18,0,0,2657,7.2292,C,0.782,,,2657,
1203,,3,male,22,0,0,2658,7.225,C,0.156673,,,2658,
621,0,3,male,27,1,0,2659,14.4542,C,0.156673,,,2659,
831,1,3,female,15,1,0,2659,14.4542,C,0.782,,,2659,
977,,3,male,24,1,0,2660,14.4542,C,0.156673,,,2660,
1141,,3,female,24,1,0,2660,14.4542,C,0.782,,,2660,
66,1,3,male,24,1,1,2661,15.2458,C,0.575,,,2661,
710,1,3,male,24,1,1,2661,15.2458,C,0.575,,,2661,
1117,,3,female,27,0,2,2661,15.2458,C,0.782,,,2661,
49,0,3,male,19,2,0,2662,21.6792,C,0.156673,,,2662,
921,,3,male,19,2,0,2662,21.6792,C,0.156673,,,2662,
1189,,3,male,19,2,0,2662,21.6792,C,0.156673,,,2662,
763,1,3,male,20,0,0,2663,7.2292,C,0.156673,,,2663,
599,0,3,male,27,0,0,2664,7.225,C,0.156673,,,2664,
112,0,3,female,14.5,1,0,2665,14.4542,C,0.697802,,,2665,
241,0,3,female,24,1,0,2665,14.4542,C,0.697802,,,2665,
449,1,3,female,5,2,1,2666,19.2583,C,0.697802,,,2666,
470,1,3,female,0.75,2,1,2666,19.2583,C,0.697802,,,2666,
645,1,3,female,0.75,2,1,2666,19.2583,C,0.697802,,,2666,
859,1,3,female,24,0,3,2666,19.2583,C,0.782,,,2666,
876,1,3,female,15,0,0,2667,7.225,C,0.697802,,,2667,
129,1,3,female,24,1,1,2668,22.3583,C,0.697802,F,,2668,
534,1,3,female,27,0,2,2668,22.3583,C,0.782,,,2668,
1309,,3,male,24,1,1,2668,22.3583,C,0.575,,,2668,
61,0,3,male,22,0,0,2669,7.2292,C,0.156673,,,2669,
1063,,3,male,27,0,0,2670,7.225,C,0.156673,,,2670,
833,0,3,male,27,0,0,2671,7.2292,C,0.156673,,,2671,
694,0,3,male,25,0,0,2672,7.225,C,0.156673,,,2672,
280,1,3,female,35,1,1,C.A. 2673,20.25,S,0.782,,C.A.,2673,
747,0,3,male,16,1,1,C.A. 2673,20.25,S,0.156673,,C.A.,2673,
1065,,3,male,27,0,0,2673,7.2292,C,0.156673,,,2673,
1284,,3,male,13,0,2,C.A. 2673,20.25,S,0.575,,C.A.,2673,
774,0,3,male,27,0,0,2674,7.225,C,0.156673,,,2674,
1229,,3,male,39,0,2,2675,7.2292,C,0.156673,,,2675,
1166,,3,male,27,0,0,2676,7.225,C,0.156673,,,2676,
37,1,3,male,27,0,0,2677,7.2292,C,0.156673,,,2677,
141,0,3,female,27,0,2,2678,15.2458,C,0.782,,,2678,
853,0,3,female,9,1,1,2678,15.2458,C,0.697802,,,2678,
972,,3,male,6,1,1,2678,15.2458,C,0.575,,,2678,
1129,,3,male,20,0,0,2679,7.225,C,0.156673,,,2679,
74,0,3,male,26,1,0,2680,14.4542,C,0.156673,,,2680,
1007,,3,male,18,1,0,2680,14.4542,C,0.156673,,,2680,
1008,,3,male,27,0,0,2681,6.4375,C,0.156673,,,2681,
927,,3,male,18.5,0,0,2682,7.2292,C,0.156673,,,2682,
844,0,3,male,34.5,0,0,2683,6.4375,C,0.156673,,,2683,
1224,,3,male,27,0,0,2684,7.225,C,0.156673,,,2684,
799,0,3,male,30,0,0,2685,7.2292,C,0.156673,,,2685,
569,0,3,male,27,0,0,2686,7.2292,C,0.156673,,,2686,
781,1,3,female,13,0,0,2687,7.2292,C,0.697802,,,2687,
1239,,3,female,38,0,0,2688,7.2292,C,0.782,,,2688,
579,0,3,female,24,1,0,2689,14.4583,C,0.782,,,2689,
1258,,3,male,24,1,0,2689,14.4583,C,0.156673,,,2689,
533,0,3,male,17,1,1,2690,7.2292,C,0.156673,,,2690,
363,0,3,female,45,0,1,2691,14.4542,C,0.782,,,2691,
703,0,3,female,18,0,1,2691,14.4542,C,0.697802,,,2691,
909,,3,male,21,0,0,2692,7.225,C,0.156673,,,2692,
297,0,3,male,23.5,0,0,2693,7.2292,C,0.156673,,,2693,
245,0,3,male,30,0,0,2694,7.225,C,0.156673,,,2694,
353,0,3,male,15,1,1,2695,7.2292,C,0.156673,,,2695,
911,,3,female,45,0,0,2696,7.225,C,0.782,,,2696,
58,0,3,male,28.5,0,0,2697,7.2292,C,0.156673,,,2697,
919,,3,male,22.5,0,0,2698,7.225,C,0.156673,,,2698,
208,1,3,male,26,0,0,2699,18.7875,C,0.156673,,,2699,
732,0,3,male,11,0,0,2699,18.7875,C,0.156673,,,2699,
525,0,3,male,27,0,0,2700,7.2292,C,0.156673,,,2700,
465,0,3,male,27,0,0,A/S 2816,8.05,S,0.156673,,A/S,2816,
455,0,3,male,27,0,0,A/5 2817,8.05,S,0.156673,,A/5,2817,
946,,2,male,31,0,0,SC/A.3 2861,15.5792,C,0.156673,,SC/A.3,2861,
544,1,2,male,32,1,0,2908,26,S,0.156673,,,2908,
547,1,2,female,19,1,0,2908,26,S,0.782,,,2908,
54,1,2,female,29,1,0,2926,26,S,0.782,,,2926,
1169,,2,male,40,1,0,2926,26,S,0.156673,,,2926,
433,1,2,female,42,1,0,SC/AH 3085,26,S,0.782,,SC/AH,3085,
922,,2,male,50,1,0,SC/AH 3085,26,S,0.156673,,SC/AH,3085,
1148,,3,male,27,0,0,AQ/4 3130,7.75,Q,0.156673,,AQ/4,3130,
590,0,3,male,27,0,0,A./5. 3235,8.05,S,0.156673,,A./5.,3235,
1305,,3,male,27,0,0,A.5. 3236,8.05,S,0.156673,,A.5.,3236,
254,0,3,male,30,1,0,A/5. 3336,16.1,S,0.156673,,A/5.,3336,
618,0,3,female,26,1,0,A/5. 3336,16.1,S,0.782,,A/5.,3336,
133,0,3,female,47,1,0,A/5. 3337,14.5,S,0.782,,A/5.,3337,
917,,3,male,50,1,0,A/5. 3337,14.5,S,0.156673,,A/5.,3337,
991,,3,male,33,0,0,A./5. 3338,8.05,S,0.156673,,A./5.,3338,
309,0,2,male,30,1,0,P/PP 3381,24,C,0.156673,,P/PP,3381,
875,1,2,female,28,1,0,P/PP 3381,24,C,0.782,,P/PP,3381,
1000,,3,male,27,0,0,3410,8.7125,S,0.156673,,,3410,
585,0,3,male,27,0,0,3411,8.7125,C,0.156673,,,3411,
478,0,3,male,29,1,0,3460,7.0458,S,0.156673,,,3460,
68,0,3,male,19,0,0,S.P. 3464,8.1583,S,0.156673,,S.P.,3464,
1135,,3,male,27,0,0,3470,7.8875,S,0.156673,,,3470,
811,0,3,male,26,0,0,3474,7.8875,S,0.156673,,,3474,
669,0,3,male,43,0,0,A/5 3536,8.05,S,0.156673,,A/5,3536,
205,1,3,male,18,0,0,A/5 3540,8.05,S,0.156673,,A/5,3540,
483,0,3,male,50,0,0,A/5 3594,8.05,S,0.156673,,A/5,3594,
1044,,3,male,60.5,0,0,3701,9.8649,S,0.156673,,,3701,
593,0,3,male,47,0,0,A/5 3902,7.25,S,0.156673,,A/5,3902,
509,0,3,male,28,0,0,C 4001,22.525,S,0.156673,,C,4001,
997,,3,male,28,0,0,C 4001,22.525,S,0.156673,,C,4001,
1102,,3,male,32,0,0,C 4001,22.525,S,0.156673,,C,4001,
177,0,3,male,12,3,1,4133,25.4667,S,0.575,,,4133,
230,0,3,female,12,3,1,4133,25.4667,S,0.697802,,,4133,
410,0,3,female,12,3,1,4133,25.4667,S,0.697802,,,4133,
486,0,3,female,12,3,1,4133,25.4667,S,0.697802,,,4133,
1024,,3,female,27,0,4,4133,25.4667,S,0.782,,,4133,
484,1,3,female,63,0,0,4134,9.5875,S,0.782,,,4134,
504,0,3,female,37,0,0,4135,9.5875,S,0.697802,,,4135,
114,0,3,female,20,1,0,4136,9.825,S,0.697802,,,4136,
403,0,3,female,21,1,0,4137,9.825,S,0.697802,,,4137,
678,1,3,female,18,0,0,4138,9.8417,S,0.697802,,,4138,
226,0,3,male,22,0,0,PP 4348,9.35,S,0.156673,,PP,4348,
198,0,3,male,42,0,1,4579,8.4042,S,0.156673,,,4579,
846,0,3,male,42,0,0,C.A. 5547,7.55,S,0.156673,,C.A.,5547,
663,0,1,male,47,0,0,5727,25.5875,S,0.156673,E,,5727,
93,0,1,male,46,1,0,W.E.P. 5734,61.175,S,0.156673,E,W.E.P.,5734,
906,,1,female,47,1,0,W.E.P. 5734,61.175,S,0.782,E,W.E.P.,5734,
541,1,1,female,36,0,2,WE/P 5735,71,S,0.697802,B,WE/P,5735,
746,0,1,male,70,1,1,WE/P 5735,71,S,0,B,WE/P,5735,
498,0,3,male,27,0,0,C.A. 6212,15.1,S,0.156673,,C.A.,6212,
1120,,3,male,40.5,0,0,C.A. 6212,15.1,S,0.156673,,C.A.,6212,
683,0,3,male,20,0,0,6563,9.225,S,0.156673,,,6563,
784,0,3,male,24,1,2,W./C. 6607,23.45,S,0.156673,,W./C.,6607,
889,0,3,female,24,1,2,W./C. 6607,23.45,S,0.697802,,W./C.,6607,
925,,3,female,24,1,2,W./C. 6607,23.45,S,0.782,,W./C.,6607,
1136,,3,male,24,1,2,W./C. 6607,23.45,S,0.575,,W./C.,6607,
87,0,3,male,16,1,3,W./C. 6608,34.375,S,0.156673,,W./C.,6608,
148,0,3,female,9,2,2,W./C. 6608,34.375,S,0.697802,,W./C.,6608,
437,0,3,female,21,2,2,W./C. 6608,34.375,S,0.697802,,W./C.,6608,
737,0,3,female,48,1,3,W./C. 6608,34.375,S,0.782,,W./C.,6608,
1059,,3,male,18,2,2,W./C. 6608,34.375,S,0.156673,,W./C.,6608,
236,0,3,female,27,0,0,W./C. 6609,7.55,S,0.697802,,W./C.,6609,
819,0,3,male,43,0,0,C 7075,6.45,S,0.156673,,C,7075,
366,0,3,male,30,0,0,C 7076,7.25,S,0.156673,,C,7076,
377,1,3,female,22,0,0,C 7077,7.25,S,0.697802,,C,7077,
1145,,3,male,24,0,0,7266,9.325,S,0.156673,,,7266,
351,0,3,male,23,0,0,7267,9.225,S,0.156673,,,7267,
139,0,3,male,16,0,0,7534,9.2167,S,0.156673,,,7534,
877,0,3,male,20,0,0,7534,9.8458,S,0.156673,,,7534,
897,,3,male,14,0,0,7538,9.225,S,0.156673,,,7538,
104,0,3,male,33,0,0,7540,8.6542,S,0.156673,,,7540,
714,0,3,male,29,0,0,7545,9.4833,S,0.156673,,,7545,
41,0,3,female,40,1,0,7546,9.475,S,0.782,,,7546,
1061,,3,female,22,0,0,7548,8.9625,S,0.697802,,,7548,
883,0,3,female,22,0,0,7552,10.5167,S,0.697802,,,7552,
475,0,3,female,22,0,0,7553,9.8375,S,0.697802,,,7553,
339,1,3,male,45,0,0,7598,8.05,S,0.156673,,,7598,
1075,,3,male,27,0,0,7935,7.75,Q,0.156673,,,7935,
770,0,3,male,32,0,0,8471,8.3625,S,0.156673,,,8471,
653,0,3,male,21,0,0,8475,8.4333,S,0.156673,,,8475,
1098,,3,female,35,0,0,9232,7.75,Q,0.697802,,,9232,
301,1,3,female,27,0,0,9234,7.75,Q,0.697802,,,9234,
11,1,3,female,4,1,1,PP 9549,16.7,S,0.697802,G,PP,9549,
395,1,3,female,24,0,2,PP 9549,16.7,S,0.782,G,PP,9549,
1009,,3,female,1,1,1,PP 9549,16.7,S,0.697802,G,PP,9549,
284,1,3,male,19,0,0,A/5. 10482,8.05,S,0.156673,,A/5.,10482,
153,0,3,male,55.5,0,0,A.5. 11206,8.05,S,0.156673,,A.5.,11206,
42,0,2,female,27,1,0,11668,21,S,0.782,,,11668,
118,0,2,male,29,1,0,11668,21,S,0.156673,,,11668,
249,1,1,male,37,1,1,11751,52.5542,S,0.156673,D,,11751,
872,1,1,female,47,1,1,11751,52.5542,S,0.782,D,,11751,
137,1,1,female,19,0,2,11752,26.2833,S,0.697802,D,,11752,
622,1,1,male,42,1,0,11753,52.5542,S,0.156673,D,,11753,
936,,1,female,45,1,0,11753,52.5542,S,0.782,D,,11753,
557,1,1,female,48,1,0,11755,39.6,C,1,A,,11755,
371,1,1,male,25,1,0,11765,55.4417,C,0.156673,E,,11765,
1256,,1,female,25,1,0,11765,55.4417,C,0.782,E,,11765,
311,1,1,female,24,0,0,11767,83.1583,C,0.697802,C,,11767,
880,1,1,female,56,0,1,11767,83.1583,C,0.782,C,,11767,
1042,,1,female,23,0,1,11767,83.1583,C,0.782,C,,11767,
572,1,1,female,53,2,0,11769,51.4792,S,0.782,C,,11769,
1248,,1,female,59,2,0,11769,51.4792,S,0.782,C,,11769,
969,,1,female,55,2,0,11770,25.7,S,0.782,C,,11770,
488,0,1,male,58,0,0,11771,29.7,C,0.156673,B,,11771,
840,1,1,male,39,0,0,11774,29.7,C,0.156673,C,,11774,
992,,1,female,43,1,0,11778,55.4417,C,0.782,C,,11778,
1069,,1,male,54,1,0,11778,55.4417,C,0.156673,C,,11778,
219,1,1,female,32,0,0,11813,76.2917,C,0.697802,D,,11813,
940,,1,female,60,0,0,11813,76.2917,C,0.782,D,,11813,
292,1,1,female,19,1,0,11967,91.0792,C,0.782,B,,11967,
485,1,1,male,25,1,0,11967,91.0792,C,0.156673,B,,11967,
723,0,2,male,34,0,0,12233,13,S,0.156673,,,12233,
791,0,3,male,27,0,0,12460,7.75,Q,0.156673,,,12460,
521,1,1,female,30,0,0,12749,93.5,S,0.697802,B,,12749,
821,1,1,female,52,1,1,12749,93.5,S,0.782,B,,12749,
1200,,1,male,55,1,1,12749,93.5,S,0.156673,B,,12749,
1282,,1,male,23,0,0,12749,93.5,S,0.156673,B,,12749,
672,0,1,male,31,1,0,F.C. 12750,52,S,0.156673,B,F.C.,12750,
984,,1,female,27,1,2,F.C. 12750,52,S,0.782,B,F.C.,12750,
1097,,1,male,39,0,0,F.C. 12998,25.7417,C,0.156673,,F.C.,12998,
422,0,3,male,21,0,0,A/5. 13032,7.7333,Q,0.156673,,A/5.,13032,
584,0,1,male,36,0,0,13049,40.125,C,0.156673,A,,13049,
1010,,1,male,36,0,0,13050,75.2417,C,0.156673,C,,13050,
1162,,1,male,46,0,0,13050,75.2417,C,0.156673,C,,13050,
648,1,1,male,56,0,0,13213,35.5,C,0.5,A,,13213,
633,1,1,male,32,0,0,13214,30.5,C,0.428571,B,,13214,
926,,1,male,30,1,0,13236,57.75,C,0.156673,C,,13236,
1014,,1,female,35,1,0,13236,57.75,C,0.782,C,,13236,
276,1,1,female,63,1,0,13502,77.9583,S,0.697802,D,,13502,
628,1,1,female,21,0,0,13502,77.9583,S,0.697802,D,,13502,
766,1,1,female,51,1,0,13502,77.9583,S,0.782,D,,13502,
435,0,1,male,50,1,0,13507,55.9,S,0.156673,E,,13507,
578,1,1,female,39,1,0,13507,55.9,S,0.782,E,,13507,
1144,,1,male,27,1,0,13508,136.7792,C,0.156673,C,,13508,
1164,,1,female,26,1,0,13508,136.7792,C,0.782,C,,13508,
457,0,1,male,65,0,0,13509,26.55,S,0.156673,E,,13509,
212,1,2,female,35,0,0,F.C.C. 13528,21,S,0.697802,,F.C.C.,13528,
1241,,2,female,31,0,0,F.C.C. 13528,21,S,0.697802,,F.C.C.,13528,
315,0,2,male,43,1,1,F.C.C. 13529,26.25,S,0.156673,,F.C.C.,13529,
441,1,2,female,45,1,1,F.C.C. 13529,26.25,S,0.782,,F.C.C.,13529,
536,1,2,female,7,0,2,F.C.C. 13529,26.25,S,0.697802,,F.C.C.,13529,
459,1,2,female,50,0,0,F.C.C. 13531,10.5,S,0.697802,,F.C.C.,13531,
957,,2,female,31,0,0,F.C.C. 13534,21,S,0.782,,F.C.C.,13534,
1138,,2,female,22,0,0,F.C.C. 13534,21,S,0.782,,F.C.C.,13534,
1243,,2,male,25,0,0,F.C.C. 13540,10.5,S,0.156673,,F.C.C.,13540,
588,1,1,male,60,1,1,13567,79.2,C,0.156673,B,,13567,
1289,,1,female,48,1,1,13567,79.2,C,0.782,B,,13567,
540,1,1,female,22,0,2,13568,49.5,C,0.697802,B,,13568,
942,,1,male,24,1,0,13695,60,S,0.156673,C,,13695,
1287,,1,female,18,1,0,13695,60,S,0.782,C,,13695,
986,,1,male,25,0,0,13905,26,C,0.156673,,,13905,
220,0,2,male,30,0,0,W/C 14208,10.5,S,0.156673,,W/C,14208,
527,1,2,female,50,0,0,W./C. 14258,10.5,S,0.697802,,W./C.,14258,
1171,,2,male,22,0,0,W./C. 14260,10.5,S,0.156673,,W./C.,14260,
243,0,2,male,29,0,0,W./C. 14263,10.5,S,0.156673,,W./C.,14263,
1114,,2,female,22,0,0,W./C. 14266,10.5,S,0.782,F,W./C.,14266,
48,1,3,female,27,0,0,14311,7.75,Q,0.697802,,,14311,
574,1,3,female,27,0,0,14312,7.75,Q,0.697802,,,14312,
369,1,3,female,27,0,0,14313,7.75,Q,0.697802,,,14313,
73,0,2,male,21,0,0,S.O.C. 14879,73.5,S,0.156673,,S.O.C.,14879,
121,0,2,male,21,2,0,S.O.C. 14879,73.5,S,0.156673,,S.O.C.,14879,
386,0,2,male,18,0,0,S.O.C. 14879,73.5,S,0.156673,,S.O.C.,14879,
656,0,2,male,24,2,0,S.O.C. 14879,73.5,S,0.156673,,S.O.C.,14879,
666,0,2,male,32,2,0,S.O.C. 14879,73.5,S,0.156673,,S.O.C.,14879,
1104,,2,male,17,0,0,S.O.C. 14879,73.5,S,0.156673,,S.O.C.,14879,
1244,,2,male,18,0,0,S.O.C. 14879,73.5,S,0.156673,,S.O.C.,14879,
85,1,2,female,17,0,0,SO/C 14885,10.5,S,0.697802,,SO/C,14885,
1168,,2,male,28,0,0,SC 14888,10.5,S,0.156673,,SC,14888,
589,0,3,male,22,0,0,14973,8.05,S,0.156673,,,14973,
1232,,2,male,18,0,0,C.A. 15185,10.5,S,0.156673,,C.A.,15185,
320,1,1,female,40,1,1,16966,134.5,C,0.782,E,,16966,
338,1,1,female,41,0,0,16966,134.5,C,0.697802,E,,16966,
1088,,1,male,6,0,2,16966,134.5,C,0.575,E,,16966,
1134,,1,male,45,1,1,16966,134.5,C,0.156673,E,,16966,
1263,,1,female,31,0,0,16966,134.5,C,0.697802,E,,16966,
741,1,1,male,39,0,0,16988,30,S,0.156673,D,,16988,
266,0,2,male,36,0,0,C.A. 17248,10.5,S,0.156673,,C.A.,17248,
169,0,1,male,39,0,0,PC 17318,25.925,S,0.156673,,PC,17318,
913,,3,male,9,0,1,C 17368,3.1708,S,0.575,,C,17368,
128,1,3,male,24,0,0,C 17369,7.1417,S,0.156673,,C,17369,
551,1,1,male,17,0,2,17421,110.8833,C,0.156673,C,,17421,
582,1,1,female,39,1,1,17421,110.8833,C,0.782,C,,17421,
699,0,1,male,49,1,1,17421,110.8833,C,0.156673,C,,17421,
307,1,1,female,39,0,0,17421,110.8833,C,0.697802,,,17421,
454,1,1,male,49,1,0,17453,89.1042,C,0.156673,C,,17453,
850,1,1,female,40,1,0,17453,89.1042,C,0.782,C,,17453,
